label,APCA_0,APCA_1,APCA_2,APCA_3,APCA_4,APCA_5,APCA_6,APCA_7,APCA_8,APCA_9,APCA_10,APCA_11,APCA_12,APCA_13,APCA_14,APCA_15,APCA_16,APCA_17,APCA_18,APCA_19,APCA_20,APCA_21,APCA_22,APCA_23,APCA_24,APCA_25,APCA_26,APCA_27,APCA_28,APCA_29
1,6.959893803073895491e+00,3.993141968964887045e+00,1.075868102995880760e+00,-6.206564501292531899e-01,1.703618666945897697e+00,1.431692662407237693e+00,7.200610624122751879e-01,6.276927295174611343e-01,4.765481386794240271e-01,5.628658619561216492e-01,7.858380298436814515e-01,-6.332766537512566352e-01,1.149289406340341602e+00,1.622805606967930026e-01,6.125208372656457678e-01,7.663450822925200745e-01,6.489959687062013538e-01,1.053886535129514718e-01,-4.620188743238636819e-01,-1.488603342497112347e-01,-4.012624860731316828e-02,5.935612144702785420e-01,1.119137217253075800e+00,2.926083679550695038e-01,-3.519711832476690172e-01,-9.429273340024881822e-01,-1.992959440691310924e-01,-1.119926762842699652e+00,-2.466653036867992241e-02,7.004696116514692872e-02
1,5.442898815717061467e+00,3.434049116308194982e+00,5.618473020872234436e-01,-7.190057691605078460e-01,1.971637776037843959e-01,2.229450877869406933e-01,-8.597414894539730235e-02,7.960900514298313579e-02,9.551794642838682403e-01,-8.151007955330350496e-01,-1.012848683949188144e+00,6.061959839349370105e-01,-6.549762050221177856e-02,-1.156382275868607090e+00,-1.430140478563171440e-02,-9.714320525184982555e-03,3.349032460722299875e-01,-2.126603747434884784e-01,-3.878594922809381340e-01,3.991256367299597652e-01,-1.380110718839259176e-01,-4.842421396372260101e-01,1.015720643736905515e+00,-6.339411489075813533e-01,5.235480556004500352e-01,-4.345028193061121757e-01,-5.177157554990071686e-01,2.585867105459524473e-01,5.723542543915962622e-01,5.544820813042470320e-01
9,-3.495808883565081793e+00,4.394388500195037239e-01,-4.128009759466943152e+00,9.823363665609227691e-02,4.276485205254492161e-01,-3.935460591136577535e-01,2.170992341713663620e+00,-1.358207080210462436e+00,-1.250319165155674650e+00,-3.615078838955643192e-01,-9.489002310004718277e-01,5.024467028902561416e-02,-7.032384124885526777e-01,-6.552577649524612413e-01,4.441842658674237110e-01,2.637788550143135846e-01,6.034119956095035375e-01,1.501941335521165044e+00,1.136017578693271135e+00,-1.618795415482104483e+00,2.980297985026090779e-01,6.925009594147852887e-01,9.614450494742113884e-01,2.145130112068758532e-01,3.350049870691171328e-01,8.367450960587614894e-02,-2.062105835455187719e-01,-1.085462307033093099e+00,1.785416363992697597e-01,-9.537597763116456573e-01
3,2.959609951742614875e+00,-7.067893303745574229e+00,8.586680777727602187e-01,4.981696543759934759e-01,7.249478446466813830e-01,1.264461338599354723e-01,9.458509212717095549e-01,-9.570336844509377272e-01,9.599642394297773496e-02,-5.866088529642613514e-01,2.459835120713821377e-01,-7.691822908019764482e-03,-1.004808451502087641e+00,-3.442421124394468568e-01,-1.513453702567493786e-01,-8.791489157342529115e-01,-3.738240821033253503e-01,1.903159245575206882e+00,-1.008475028234590010e-01,2.209933161891365905e-01,-8.226435643651296425e-01,4.219220069227891945e-01,4.544103603288058846e-01,1.195764589610867734e+00,-9.469443418906958732e-01,-4.138563178185798996e-01,-6.722367994695749305e-01,-1.538319717907364083e-02,5.077958791669556077e-02,6.511799364310699723e-01
3,2.462996411259511742e+00,-6.092451857646133284e+00,6.187673709303942449e-01,2.188506496197811513e-01,1.385455124326211207e+00,-3.976418443483278886e-01,-1.084048043714824772e+00,-1.609251469621000519e+00,2.805777857303867751e-01,1.921874622987029824e-01,3.379178723963849329e-01,1.219782872022826314e+00,-1.867770940924046441e-01,4.015237960729189926e-01,5.306468332683299260e-02,-1.559944403820305026e-01,-7.150362973431171332e-01,2.015461656214617148e-01,8.821217842827868694e-01,-6.312145136652228539e-01,8.879103691900379347e-02,-3.066218916775120262e-01,8.452563047006913521e-01,-6.755299088216546455e-01,-2.071239369834033672e-01,1.222850010965311762e+00,2.697975924947020321e-01,-3.910110324319542308e-01,8.576133059094408206e-02,6.560260648160618491e-01
7,-3.225298187532324778e+00,7.467849770052032987e-01,1.567297334318693558e+00,1.021292395201944592e+00,4.340212684546821964e-01,7.434587210856521411e-01,1.067114895109955830e+00,7.435856163363530058e-01,-4.443959645264028979e-01,5.508407167920087444e-01,6.251891663666443444e-01,1.253719175933355023e+00,6.035786209476440289e-01,7.382293373731846353e-01,1.384655049366650070e+00,1.082171555063194290e+00,6.649473472550249120e-01,-1.701101444703114085e+00,1.385168663591224592e+00,-2.310215927375132081e-02,-7.436197535304510664e-01,-2.679983297871045278e-01,2.291653778600089564e-01,4.860920298598057632e-01,-8.541365668897755725e-01,5.232062549209356428e-01,-3.767192788740193060e-02,-1.026306621071356728e+00,-2.259235428726206474e-01,9.821647423749858552e-01
3,3.711399385823877850e+00,-7.251850739330913065e+00,1.533419497970569090e+00,3.923699299031861432e-01,7.592048179589130363e-01,-3.360334107355300581e-01,3.547204052284058662e-02,-8.380960192751826243e-01,-2.860466899707428956e-01,7.435938248551841045e-01,-1.233511269062927823e-02,1.684362127482770255e+00,-2.027282000786664873e-01,-9.594856548666347296e-01,4.928879909142751536e-01,8.965454888892619989e-01,3.257297303116011289e-01,9.114614832328931104e-01,2.007177132426749347e-02,4.729300932911152944e-01,-1.119144696991172694e+00,-3.408838013191737848e-01,3.561559572578684163e-01,-5.586865950824542182e-01,-9.303828664888772471e-01,-1.201285918207675607e+00,6.067554699767130355e-01,-2.907267302539552345e-01,6.180422907988923908e-01,-5.306933574664317310e-02
1,6.792408915828159977e+00,4.643065146150452627e+00,-2.460286853022344566e-01,4.872988316522813834e-01,5.248103100859970171e-02,-4.314655868934122278e-03,-1.370638157439860727e+00,5.873011640818770474e-01,-1.639231141837688810e+00,-6.092032730911364213e-01,-1.637546172826807922e+00,7.629235113201585650e-01,-2.570176607791720413e-01,-7.879664734321483177e-01,9.008553760828160728e-01,-2.683001688476455496e-03,1.201434435358906594e+00,-3.712523996318385366e-01,-3.328285236113194823e-01,1.223710009424587158e-01,-7.415523346092390833e-01,-4.409632151101992581e-01,1.030897962388232364e-01,-4.129218467217263822e-01,-2.519024110103911807e-01,1.455549058685138286e-01,1.344074114930924879e-01,2.926268811543220605e-01,8.776279047177804049e-01,1.405509161666505524e-01
1,4.497860689845786908e+00,2.504859104870145181e+00,1.194021560116175662e+00,-1.966211485351453125e-01,-7.454829299406693366e-01,-3.393829221358420356e-01,2.712813220990029528e+00,6.280430515741604047e+00,-9.706406491299520711e-01,-9.276932634434271741e-01,6.600983122232665146e+00,-8.314326753832064210e-01,-2.754342046189080406e+00,7.482873284596209817e-01,4.265408959845141679e-01,-9.351912837703603154e-01,-2.462028875512129567e+00,2.994700261948228803e+00,-4.325536420147525263e+00,-3.077922483172879087e-02,-6.713202703570448904e-01,-1.023167794111987439e+00,2.957065480985535455e+00,-7.413033523451687534e-01,3.619413477369712306e-01,7.558133090160308321e-01,3.100904815263201275e-01,-1.563769057550969732e+00,1.684654420018952825e+00,2.760576606179710790e+00
3,3.629512558497721919e+00,-7.662588575582661043e+00,1.043047002589570837e+00,3.955900840811242269e-01,-4.061400793941937620e-02,-5.189893479693161726e-01,-9.927235175718754356e-02,-4.490071411596031625e-01,-2.494152809775472823e-01,9.809085378743390704e-01,-2.448784937122109040e-01,1.409873131727620965e+00,-2.188783658091118522e-01,2.610984908375651448e-01,2.847703803164684522e-01,-6.044605460440821698e-01,3.576193366540322827e-01,7.644448062853240744e-01,5.475341885612913240e-01,3.436442794795697142e-01,-9.046495592610973580e-01,4.407062101806332732e-01,9.016741053791047511e-01,4.155583479619630038e-01,-6.385462202663346742e-01,-2.314601334044718572e-01,7.473657107154589585e-02,-1.720679693461150961e-01,4.486415791703016742e-01,1.333169096132001130e-01
